ID_Cliente;Nombre;Edad;Genero;Localidad;Nivel_Socioeconomico
1;JorgeRodríguez;32;Masculino;kennedy;Bajooo
2;ESPERANZA TORRES;56;;kennedy;medio
3;Felipe Buitrago;;No binario;Kennedy;Altoo
4;STIVEN GARCÍA;72;Otro;subaa;Bajooo
5;Rubiela Gómez;74;Femenino;Usaquén;Altoo
6;MARINA MORA;24;No binario;engativa;bajoooo
7;María Ramírez;59;Femenino;CHAPINERO;Bajooo
8;Jesús Vásquez;32;Masculino;Usaquén;Bajooo
9;Marina Fernández;74;Femenino;ENGATIVA;alto
10;Edwin Rodríguez;53;No binario;ENGATIVA;Alto
11;MARIO BENAVIDES;25;Femenino;Engativá ;Bajooo
12;Ruth Sánchez;53;Masculino;Suba;MEDIO
13;René Quintero;36;No binario;;ALTO
14;Andrea López;24;Otro; Suba;Alto
15;  Edgar  Agudelo  ;51;Otro;Suba;Altoo
16;MARIO ARIZA;23;No binario;kennedy;Alto
17;Andrés Cardozo;51;No binario;kennedy;ALTO
18;Myriam Caicedo;59;No binario;CHAPINERO;Bajo
19;Álvaro Beltrán;22;Masculino;Usaquén;Medio
20;Nelson Escobar;52;No binario;SUBA;bajo
21;Diego Gómez;44;Masculino;Suba;ALTO
22;Ángela Gutiérrez;30;Femenino;usaquen;Medio
23;Ana Moreno;21;Masculino;CHAPINERO;medio
24;Diana Castro;28;No binario;subaa;ALTO
25;Fernando Morales;63;Femenino;Usaquén;MEDIO
26;Eliana Rojas;48;Femenino; Suba;Alto
27;MÓNICA CUESTA;43;Femenino;Usaquén;Bajooo
28;Jesús León;34;Otro;ENGATIVA;alto
29;Carolina Padilla;22;;KENNEDY;Medio
30;Claudia Rivera;40;Femenino;CHAPINEROOO;MEDIO
31;Edisson Bedoya;59;Otro;Suba;Alto
32;Luis Duque;27;Femenino;chapinero;BAJO
33;Héctor Guevara;21;No binario;Usaquén;
34;Ángela Gómez;65;No binario;Suba;ALTO
35;Valentina Ortiz;55;No binario;USAQUEN;Altoo
36;LauraValderrama;61;Masculino;kennedy;Bajooo
37;Germán Álvarez;33;Femenino;Chapinero;bajoooo
38;Jesús Medina;65;Otro;Suba;Bajo
39;Néstor Cruz;47;Femenino;chapinero;BAJO
40;Mónica Vargas;59;Otro;Suba;BAJO
41;Luis Muñoz;24;Otro;Usaquén ;MEDIO
42;Juan Burbano;20;Masculino;kennedy;ALTO
43;  Pilar  Torres  ;60;Otro;Suba;BAJO
44;Leider Palacios;62;Femenino;ENGATIVA;Alto
45;Andrea Gómez;18;Femenino;KENNEDY;bajoooo
46;Sandra Pineda;48;Femenino;USAQUEN;alto
47;DARIO SALAZAR;33;Femenino;Kennedy;
48;Patricia Flórez;22;Femenino;ENGATIVA;bajo
49;Albert Contreras;73;Masculino;CHAPINERO;ALTO
50;MOISÉS ESTRADA;72;Femenino; Suba;Medioo
51;María Camargo;70;No binario;kennedy;Alto
52;Manuel Montoya;33;Otro; Suba;bajo
53;MÓNICA BEDOYA;35;Masculino;CHAPINERO;Alto
54;MARTHA MEJÍA;52;Masculino;Engativá ;Altoo
55;Valeria Posada;66;No binario;;Altoo
56;Germán Ortiz;52;Femenino;usaquen;Bajo
57;José Díaz;64;No binario;Kennedyy;Bajooo
58;Yeison Polo;45;No binario;usaquen;bajo
59;Stella Henao;35;No binario;Engativá;ALTO
